name,hub_type,state,city,latitude,longitude,operator,capacity_notes,source_url
ICD Tughlakabad,icd,Delhi,New Delhi (TKD),28.5070,77.2820,Container Corporation of India (CONCOR),Largest ICD in North India; rail-linked to Nhava Sheva/Pipavav; coordinates approximate,https://www.concorindia.co.in
ICD Dadri,icd,Uttar Pradesh,Dadri (Gautam Buddha Nagar),28.5500,77.5500,Container Corporation of India (CONCOR),Major rail-linked ICD serving NCR; private sidings (Reliance GT etc.) nearby,https://en.wikipedia.org/wiki/Dadri
ICD Garhi Harsaru,icd,Haryana,Gurugram,28.4350,76.9430,Container Corporation of India (CONCOR),Rail-linked ICD serving Delhi/NCR industrial belt,https://www.concorindia.co.in
ICD Patparganj,icd,Delhi,Delhi,28.6200,77.2800,Container Corporation of India (CONCOR),Long-established Delhi ICD; city coordinates approximate,https://www.concorindia.co.in
ICD Bawal,icd,Haryana,Bawal (Rewari),28.0800,76.5900,Container Corporation of India (CONCOR),Serving Rewar-Bawal industrial corridor (auto sector),https://www.cbic.gov.in/entities/cbic-content-mst/MTIzMzE%253D
ICD Ballabhgarh,icd,Haryana,Faridabad,28.3400,77.3200,Container Corporation of India (CONCOR),Serving Faridabad-Palwal industrial belt,https://www.cbic.gov.in/entities/cbic-content-mst/MTIzMzE%253D
ICD Loni,icd,Uttar Pradesh,Ghaziabad,28.7500,77.2800,Container Corporation of India (CONCOR),Serving Ghaziabad/UP West industrial cluster,https://www.cbic.gov.in/entities/cbic-content-mst/MTIzMzE%253D
ICD Ludhiana,icd,Punjab,Ludhiana,30.9000,75.8500,Container Corporation of India (CONCOR),Rail-linked ICD for Punjab exporters (textiles machine tools),https://en.wikipedia.org/wiki/Ludhiana
ICD Baddi,icd,Himachal Pradesh,Baddi (Solan),30.9600,76.7900,Container Corporation of India (CONCOR),Serving Baddi-Barotiwala-Nalagarh pharma hub,https://en.wikipedia.org/wiki/Baddi
ICD Moradabad,icd,Uttar Pradesh,Moradabad,28.8400,78.7700,Container Corporation of India (CONCOR),Serving handicrafts export cluster,https://www.concorindia.co.in
ICD Whitefield,icd,Karnataka,Bengaluru,12.9699,77.5900,Container Corporation of India (CONCOR),Major South India ICD serving Bengaluru tech and apparel exports,https://en.wikipedia.org/wiki/Whitefield
ICD Nagpur (MIHAN),icd,Maharashtra,Nagpur,21.1000,79.0500,Container Corporation of India (CONCOR),Located in MIHAN SEZ; central India multi-modal hub,https://en.wikipedia.org/wiki/Multi-modal_International_Cargo_Hub_and_Airport_at_Nagpur
ICD Chennai (Tondiarpet),icd,Tamil Nadu,Chennai,13.1300,80.2900,Container Corporation of India (CONCOR),Rail-linked to Chennai and Ennore ports,https://www.concorindia.co.in
ICD Melpakkam,icd,Tamil Nadu,Arakkonam (near Chennai),13.0800,79.4200,Container Corporation of India (CONCOR),Rail-linked ICD north-west of Chennai; coordinates approximate,https://www.concorindia.co.in
ICD Tiruppur,icd,Tamil Nadu,Tiruppur,11.1100,77.3400,Container Corporation of India (CONCOR),Serving knitwear export cluster,https://en.wikipedia.org/wiki/Tiruppur
ICD Coimbatore,icd,Tamil Nadu,Coimbatore,11.0200,76.9600,Container Corporation of India (CONCOR),Serving textile and engineering exports,https://www.concorindia.co.in
