name,hub_type,state,city,latitude,longitude,operator,capacity_notes,source_url
MMLP Jalna,mmlp,Maharashtra,Jalna,19.8410,75.8799,National Highways Logistics Management Ltd (NHLML),Operational; commercial operations commenced June 2026 per NHLML; first NHLML park to open; serves Marathwada dry-port hinterland,https://nhlml.org/multi-modal-logistics-park
MMLP Chennai (Mappedu),mmlp,Tamil Nadu,Mappedu (Thiruvallur district),13.1239,79.9098,NHLML / Reliance Industries Ltd (DP World 49% stake),Awarded and under development; 184 acres at Mappedu ~52 km from Chennai Port; ~Rs 1424 crore; first MMLP awarded under PM Gati Shakti; Phase-1 targeted ~2026,https://nhlml.org/multi-modal-logistics-park
MMLP Bengaluru (Muddalinganahalli),mmlp,Karnataka,Muddalinganahalli (Nelamangala taluk),13.0989,77.3972,NHLML / PATH Bengaluru Logistics Park Pvt Ltd,Awarded and under construction since Mar 2024; ~400 acres; ~Rs 1770 crore; 45-year DBFOT concession; ~30 MMT cargo by end of concession,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1958506
MMLP Indore,mmlp,Madhya Pradesh,Indore,22.7196,75.8577,National Highways Logistics Management Ltd (NHLML),Bid awarded and under development per NHLML; one of six MMLPs awarded as of MoRTH Annual Report 2024-25; expected operational FY 2026-27,https://nhlml.org/multi-modal-logistics-park
MMLP Nagpur (Sindi),mmlp,Maharashtra,Sindi (Wardha district),20.6247,78.8432,NHLML / AMR India Ltd (re-award),Bid awarded and under development; ~Rs 360 crore; site at Sindi in Wardha district near Butibori after earlier tender scrapped,https://nhlml.org/multi-modal-logistics-park
MMLP Jogighopa,mmlp,Assam,Jogighopa (Bongaigaon district),26.2354,90.5747,NHIDCL / Jogighopa Logistics Park Ltd,Under construction; ~317 acres on NW-2 Brahmaputra with road-rail-inland waterway connectivity; first MMLP taken up under Bharatmala; expected operational FY 2025-26/2026-27,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2117707
MMLP Varanasi,mmlp,Uttar Pradesh,Varanasi,25.3176,82.9739,National Highways Logistics Management Ltd (NHLML),Bid invited on PPP-DBFOT; ~150 acres near NW-1 Ganga terminal per NHLML-IWAI-Railways MoU (PIB Mar 2025),https://www.pib.gov.in/PressReleasePage.aspx?PRID=2110167
MMLP Nashik,mmlp,Maharashtra,Nashik,19.9975,73.7898,National Highways Logistics Management Ltd (NHLML),Planned; feasibility study/DPR completed per NHLML project roster,https://nhlml.org/multi-modal-logistics-park
MMLP Patna,mmlp,Bihar,Patna,25.5941,85.1376,National Highways Logistics Management Ltd (NHLML),Planned; feasibility study/DPR completed per NHLML project roster,https://nhlml.org/multi-modal-logistics-park
MMLP Anantapur,mmlp,Andhra Pradesh,Anantapur,14.6819,77.6006,National Highways Logistics Management Ltd (NHLML),Planned; feasibility study/DPR in progress per NHLML project roster,https://nhlml.org/multi-modal-logistics-park
MMLP Hyderabad,mmlp,Telangana,Hyderabad,17.3850,78.4867,National Highways Logistics Management Ltd (NHLML),Planned; feasibility study/DPR in progress per NHLML project roster,https://nhlml.org/multi-modal-logistics-park
MMLP Pune,mmlp,Maharashtra,Pune,18.5204,73.8567,National Highways Logistics Management Ltd (NHLML),Planned; feasibility study/DPR in progress per NHLML project roster,https://nhlml.org/multi-modal-logistics-park
MMLP Visakhapatnam,mmlp,Andhra Pradesh,Visakhapatnam,17.6868,83.2185,National Highways Logistics Management Ltd (NHLML),Planned; feasibility study/DPR in progress per NHLML project roster,https://nhlml.org/multi-modal-logistics-park
MMLP Silchar,mmlp,Assam,Silchar,24.8333,92.7789,National Highways Logistics Management Ltd (NHLML),Planned; at pre-feasibility stage per NHLML project roster,https://nhlml.org/multi-modal-logistics-park
MMLP Vijayawada,mmlp,Andhra Pradesh,Vijayawada,16.5062,80.6480,NHLML (proposed),Identified location under original 35-site Bharatmala/LEEP list; not yet in awarded NHLML development roster (status as of 2021 identification),https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India
MMLP Surat,mmlp,Gujarat,Surat,21.1702,72.8311,NHLML (proposed),Identified location under original 35-site Bharatmala/LEEP list; not yet in awarded NHLML development roster,https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India
MMLP Kolkata,mmlp,West Bengal,Kolkata,22.5726,88.3639,NHLML (proposed),Identified location under original 35-site Bharatmala/LEEP list; not yet in awarded NHLML development roster,https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India
MMLP Coimbatore,mmlp,Tamil Nadu,Coimbatore,11.0168,76.9558,NHLML (proposed),Identified location under original 35-site Bharatmala/LEEP list; not yet in awarded NHLML development roster,https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India
MMLP Jammu,mmlp,Jammu and Kashmir,Jammu,32.7266,74.8570,NHLML (proposed),Identified location under original 35-site Bharatmala/LEEP list; not yet in awarded NHLML development roster,https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India
MMLP Sangrur,mmlp,Punjab,Sangrur,30.2361,75.8450,NHLML (proposed),Identified location under original 35-site Bharatmala/LEEP list; not yet in awarded NHLML development roster,https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India
