station_name,station_code,corridor,state,district,latitude,longitude,station_type,feeder_connection,chainage_km
New Dadri,NDAD,WDFC,Uttar Pradesh,Gautam Buddha Nagar,28.551,77.568,Junction / Terminus,EDFC Interchange / ICD Dadri,0.0
New Prithla,NPRT,WDFC,Haryana,Palwal,28.256,77.294,Junction,Palwal Junction / IR Delhi-Agra,46.0
New Taoru,NTAU,WDFC,Haryana,Nuh,28.285,76.953,Crossing,Gurugram Logistics Zone,82.0
New Rewari,NREW,WDFC,Haryana,Rewari,28.212,76.621,Junction,IR Rewari Junction / Concor Bawal,127.0
New Ateli,NATL,WDFC,Haryana,Mahendragarh,28.028,76.265,Crossing,Mahendragarh Feeder,165.0
New Dabla,NDBL,WDFC,Rajasthan,Sikar,27.893,75.981,Crossing,Sikar Feeder,204.0
New Neem Ka Thana,NNKT,WDFC,Rajasthan,Sikar,27.734,75.782,Crossing,Neem Ka Thana,236.0
New Ringas,NRGS,WDFC,Rajasthan,Sikar,27.352,75.568,Junction,IR Ringas / Jaipur link,288.0
New Phulera,NPHL,WDFC,Rajasthan,Jaipur,26.874,75.241,Junction,IR Phulera Junction / Jaipur ICD,348.0
New Kishangarh,NKSG,WDFC,Rajasthan,Ajmer,26.582,74.873,Crossing,Kishangarh Marble Cluster,395.0
New Madar,NMDR,WDFC,Rajasthan,Ajmer,26.501,74.685,Junction,IR Ajmer / Madar,420.0
New Marwar,NMWR,WDFC,Rajasthan,Pali,25.731,73.612,Junction,IR Marwar Junction / Jodhpur link,542.0
New Falna,NFLN,WDFC,Rajasthan,Pali,25.221,73.238,Crossing,Falna Industrial Area,612.0
New Abu Road,NABR,WDFC,Rajasthan,Sirohi,24.475,72.776,Junction,IR Abu Road,685.0
New Palanpur,NPNU,WDFC,Gujarat,Banas Kantha,24.172,72.431,Junction,IR Palanpur / Mundra & Kandla Ports feeder,742.0
New Mehsana,NMSN,WDFC,Gujarat,Mahesana,23.593,72.395,Junction,IR Mehsana / Maruti Suzuki plant link,807.0
New Sanand,NSND,WDFC,Gujarat,Ahmadabad,22.984,72.368,Junction,Sanand Auto Hub / Viramgam / Pipavav link,880.0
New Makarpura,NMKP,WDFC,Gujarat,Vadodara,22.241,73.195,Junction,IR Vadodara / GIDC Makarpura,995.0
New Bharuch,NBHR,WDFC,Gujarat,Bharuch,21.712,72.998,Crossing,Dahej PCPIR / Port link,1072.0
New Gothangam (Surat),NGOT,WDFC,Gujarat,Surat,21.264,72.875,Junction,IR Surat / Hazira Port feeder,1142.0
New Udhna / Sachin,NSCH,WDFC,Gujarat,Surat,21.082,72.883,Crossing,Surat Textile & Diamond SEZ,1165.0
New Valsad,NBLS,WDFC,Gujarat,Valsad,20.612,72.935,Crossing,Vapi / Valsad Industrial Area,1228.0
New Vapi,NVAP,WDFC,Gujarat,Valsad,20.375,72.912,Crossing,Vapi Chemical Hub,1260.0
