name,terminal_type,zone,division,state,city,latitude,longitude,operator,capacity_notes,source_url,matched_station_code
Vadalapudi,gct,ECoR,WAT,Andhra Pradesh,Vadalapudi,,,,identified/proposed GCT (PIB 2023 annexure; tentative); no coordinate match,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,
Jaggayyapet,gct,SCR,SC,Andhra Pradesh,Jaggayyapet,,,,identified/proposed GCT (PIB 2023 annexure; tentative); no coordinate match,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,
Krishnapatnam,gct,SCR,BZA,Andhra Pradesh,Krishnapatnam,14.253,80.133,,coordinate from hub dataset (ports.csv); identified/proposed GCT (PIB 2023),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,
Kamalajari,gct,NFR,LMG,Assam,Kamalajari,20.36971,85.83802,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,KJR
Ramnagar FCI GCT Terminal,gct,NFR,LMG,Assam,Ramnagar FCI GCT Terminal,,,,identified/proposed GCT (PIB 2023 annexure; tentative); no coordinate match,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,
Bihara,gct,NFR,LMG,Assam,Bihara,24.96282,92.68905,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,BHZ
Jogighopa,gct,NFR,Rangiya,Assam,Jogighopa,26.24154,90.57638,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,JPZ
Baihata,gct,NFR,Rangiya,Assam,Baihata,26.34371,91.68434,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,BIZ
Chamua,gct,ECR,SPJ,Bihar,Chamua,27.1377,84.40083,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,CAMU
Budhma,gct,ECR,SPJ,Bihar,Budhma,25.90277,86.85701,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,BDMA
Semra,gct,ECR,SPJ,Bihar,Semra,26.71195,84.8137,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,SRA
Bhelwa,gct,ECR,SPJ,Bihar,Bhelwa,26.99413,84.77836,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,BLV
Mansi,gct,ECR,SEE,Bihar,Mansi,25.5094,86.55445,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,MNE
Pasraha,gct,ECR,SEE,Bihar,Pasraha,25.40376,86.74388,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,PSR
Khudiram Bose Pusa,gct,ECR,SEE,Bihar,Khudiram Bose Pusa,25.90643,85.67268,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,KRBP
Amagura,gct,ECoR,WAT,Chhattisgarh,Amagura,19.0681,82.14734,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,AGZ
Lajkura,gct,SECR,BSP,Chhattisgarh,Lajkura,21.80902,83.88827,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,LJKR
Narela,gct,NR,DLI,Delhi,Narela,28.84689,77.08573,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,NUR
Kayavarohan,gct,WR,BRC,Gujarat,Kayavarohan,,,,identified/proposed GCT (PIB 2023 annexure; tentative); no coordinate match,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,
Virochan Nagar,gct,WR,ADI,Gujarat,Virochan Nagar,23.07848,72.19618,,identified/proposed GCT (PIB 2023 annexure; tentative),https://www.pib.gov.in/PressReleasePage.aspx?PRID=1910049,VCN
