station_name,station_code,zone,division,state,address,latitude,longitude
Badhal,BDHL,NWR,JAIPUR,Rajasthan,"Kishangarh Renwal, Rajasthan",27.2520587,75.4516454
KICHHA,KHH,NER,IZN,Uttar Pradesh,"Kichha, Uttar Pradesh",28.913427,79.519746
Sherekan,SRKN,NWR,BKN,Rajasthan,"MDR 89, Rajasthan",29.55519806064484,74.43499088287354
Bhukarka,BKKA,NWR,,Rajasthan,"Bhukarka, Rajasthan",29.238227312503696,74.75103096105158
Nohar,NHR,NWR,BKN,Rajasthan,"State Highway 36, Rajasthan",29.192562738768984,74.77362781763077
Perungudi,PRGD,SR,,Tamil Nadu,"Chennai, Tamil Nadu",12.975217,80.231363
Khinaniyan,KNNA,NWR,BKN,Haryana,"State Highway 23, Haryana",29.345637263205944,74.7179570607841
JAULKHERA,JKR,CR,NGP,,,21.838466,78.216684
BARSALI,BYS,CR,NGP,,,21.909813,78.03136099999999
GIRWAR,GW,WCR,JBP,,,23.838186,78.936311
DANGIDHAR,DGD,,,,,23.871771000000003,79.019912
DHODHAR,DOD,WR,RATLAM,Madhya Pradesh,"Dhodar, Madhya Pradesh",23.770741,75.10354600000001
GANESHGANJ,GAJ,WCR,JBP,,,23.895862,79.074633
Jayanagar Majilpur Halt,JNM,ER,,West Bengal,"Jaynagar, West Bengal",22.168635,88.415324
NASIRABAD,NSD,NWR,AII,Rajasthan,"Nasirabad, Rajasthan",26.29446,74.71699100000001
PATHARIA,PHA,WCR,JBP,,,23.905726,79.192899
NIZAMABAD,NZB,SCR,HYB,Andhra Pradesh,"Nizamabad, Andhra Pradesh",18.679165,78.103238
RAJENDRA PUL,RJO,ECR,DNR,,,25.387447,86.01054599999999
ADUTURAI,ADT,SR,TPJ,Tamil Nadu,"Aduthurai, Tamil Nadu",11.009165,79.478668
KUMBAKONAM,KMU,SR,TPJ,Tamil Nadu,"Kumbakonam, Tamil Nadu",10.952962,79.388644
MANAMADURAI JN,MNM,SR,MDU,Tamil Nadu,"Sivaganga, Tamil Nadu",9.681539,78.45351
GORAKHPUR JN,GKP,NER,LJN,,,26.759311,83.381499
VARNAMA,VRM,WR,VADODARA,,,22.184274,73.16928300000001
GORAKHPUR CANT,GKC,NER,LJN,,,26.750649,83.416821
ITOLA,ITA,WR,VADODARA,,,22.149889,73.156746
BARAUT,BTU,NR,DLI,Uttar Pradesh,"Baraut, Uttar Pradesh",29.09692,77.273006
Moga,MOGA,NR,FZR,Punjab,"Moga, Punjab",30.817296,75.16846699999999
SAMAKHIALI JN,SIOB,WR,AHMEDABAD,,,23.309819,70.503394
Rasheedpura Khori,RDK,NWR,JAIPUR,Rajasthan,"MDR 87, Rajasthan",27.713786,75.087121
PEDDAVADIAPUDI,PVD,SCR,BZA,,,16.414205000000003,80.612645
ELLAMANCHILI,YLM,SCR,BZA,,,17.553652000000003,82.85262
Chatrappatti,CHPT,SR,MDU,,,10.476971,77.655113
JARWAL ROAD,JLD,NER,LJN,,,27.120389,81.540406
BRAJRAJNAGAR,BRJN,SECR,BSP,,,21.822718,83.923653
COLONELGANJ,CLJ,NER,LJN,,,27.137698,81.69417800000001
KATHOLA,KTHL,,,,,27.1465555756,81.8556626477
MUNDERWA,MND,NER,LJN,,,26.776435,82.903373
SAINAGAR SHIRDI,SNSI,CR,PUNE,Maharashtra,"Near New Bus Stand Shirdi Sainagar, Maharashtra",19.7807923,74.4806877
DHOLA JN,DLJ,WR,BHAVNAGAR,Gujarat,"Dhola, Gujarat",21.822549,71.738273
PHAGWARA JN,PGW,NR,FZR,,,31.2175557498,75.7655019775
Jhunpa,JUP,,BKN,Rajasthan,"NH 65, Rajasthan",28.777449,75.521553
JHARSUGUDA JN,JSG,SER,CKP,,,21.862274,84.017427
KARCHHUE,KYW,,,,,26.2311244405,84.20715351199999
MAHENDRANATH,MHRN,,,,,26.000739,84.509909
TAPPA KHAJURIAY,TKVR,,,,,25.807401,84.688889
DODDAMPATTI,DPI,SR,SA,,,12.18134581,78.42225009
ASHAPURA GOMAT,AQG,NWR,JU,Rajasthan,"National Highway 15, Rajasthan",26.950232,71.892665
NEYKKARAPATTI,NEA,,,,,11.612765,78.09669699999999
GORAUL,GRL,ECR,SEE,,,25.931049,85.318477
KURHANI,KHI,ECR,SEE,,,25.979631,85.339288
TIRUPPUR VANJIPALAYAM,VNJ,SR,SA,,,11.117791,77.26580200000001
COIMBATORE NORTH,CBF,SR,SA,,,11.019937,76.954304
AMBALA CANT JN,UMB,NR,UMB,,,30.338918,76.826966
SIRATHU,SRO,NCR,PRYJ,,,25.650642,81.31786
SHUJAATPUR,SJT,NCR,PRYJ,,,25.605607000000003,81.401934
BIDANPUR,BDNP,NCR,PRYJ,,,25.585017,81.44201699999999
MOTIPURA CHAUKI,MTPC,WCR,KOTA,Rajasthan,"Motipura, Rajasthan",24.6093382288,77.04829951629999
HATHIDAH JN,HTZ,ECR,DNR,,,25.367027,85.987826
DUDHNOI,DDNI,NFR,RNY,Assam,"Dudhnoi Railway Station, Assam",26.001459,90.76188
RUNDHI,RDE,NCR,AGC,,,28.067751,77.350991
ITAUNJA,IJ,NER,,Uttar Pradesh,"Itaunja, Uttar Pradesh",27.081067,80.89123400000001
Ramsar,RMX,NWR,,Rajasthan,"Barmer, Rajasthan",25.722252,70.866078
PILIBHIT JN,PBE,NER,IZN,Uttar Pradesh,"Pilibhit, Uttar Pradesh",28.614978,79.813946
Rampura Beri,RMB,NWR,BKN,Rajasthan,"Rampura Bhal, Rajasthan",28.5301320576,75.64547982849999
MUGHAL SARAI JN,MGS,,,,,25.278149,83.11925000000001
Ramgarh Shekhawati,RSWT,NWR,JAIPUR,Rajasthan,"Ramgarh, Rajasthan",28.169397,74.993046
BAKAINA HALT,BKNA,,,,,29.0358,78.27473099999999
HOSHANGABAD,HBD,,,,,22.75274,77.715594
ASLANA,ANA,WCR,JBP,,,23.860522,79.319493
BUDNI,BNI,WCR,BPL,,,22.7871143,77.6812826
DHAMALGAON,DMGN,NFR,TSK,Assam,"A T Rd, Assam",27.325566,94.856569
LAKDIKAPUL,LKPL,SCR,,Andhra Pradesh,"Hyderabad, Andhra Pradesh",17.404048000000003,78.463527
BARUD,BRUD,WCR,BPL,Madhya Pradesh,"Khandwa, Madhya Pradesh",22.052142,76.814085
DEVLALI,DVL,CR,BSL,,,19.897509,73.83729
Jurtara,JRTR,,,,,22.253005,79.76127199999999
REWA,REWA,WCR,JBP,Madhya Pradesh,"Rewa, Madhya Pradesh",24.537122,81.250615
DHOLKA,DOK,WR,BHAVNAGAR,Gujarat,"Bagodara Dholka, Gujarat",22.731982,72.433842
NANDESARI,NDR,,,,,22.418331637,73.0952734283
MIYAGAM KARJAN,MYG,WR,VADODARA,,,22.050722,73.120353
MAHOBA,MBA,NCR,JHS,Uttar Pradesh,"Junction Point - Khajuraho, Uttar Pradesh",25.306914,79.849079
Jamgaon,JGZ,SECR,,Madhya Pradesh,"Bamhani, Madhya Pradesh",22.418426,80.198945
BAGHOI KUSA,BHKH,,,,,24.8399006513,84.46243313289999
NOLI,NOLI,NR,DLI,Uttar Pradesh,"Ghaziabad, Uttar Pradesh",28.746571,77.31077099999999
SUJRA,SUJR,NR,,Uttar Pradesh,"State Highway 57, Uttar Pradesh",29.012729,77.26134099999999
Amod,AMOD,WR,,Gujarat,"Amod, Gujarat",21.99079116739973,72.86546467803419
LAKODARA,LKD,WR,VADODARA,,,21.991872,73.09899399999999
Vankal,VKL,WR,,Gujarat,"SH 166, Gujarat",21.43967393177265,73.23136643506587
BYCULLA,BY,CR,,Maharashtra,"Mumbai, Maharashtra",18.97695,72.833211
BHAGWANPUR,BNR,ECR,SEE,,,25.85831672,85.30109021000001
Kotturu,KTY,SWR,UBL,Tamil Nadu,"Kothur Rd, Tamil Nadu",14.826788325296278,76.21354088187218
Bhalukmara,BLMR,NFR,TSK,Assam,"Bhalukmara, Assam",26.685532,94.143709
Anjangaon,ANJ,CR,,Maharashtra,"Anjangaon, Maharashtra",21.163199753077336,77.31896504759789
Debagram,DEB,ER,SDAH,West Bengal,"Debagram, West Bengal",23.685277,88.306807
Achalpur,ELP,CR,BSL,Maharashtra,"Dist. Amravati, Maharashtra",21.27760302246017,77.51926277764142
Bethuadahari,BTY,ER,SDAH,West Bengal,"Bethuadahari, West Bengal",23.610275,88.384597
Warud,WARUD,CR,,Maharashtra,"Wardha, Maharashtra",20.74690547756532,78.65141943097115
Velankanni,VLKN,,,Tamil Nadu,"Velankanni, Tamil Nadu",10.686877168293025,79.84618068672717
PUTLACHERUVU,PCU,SCR,,Andhra Pradesh,"Putlacheruvu, Andhra Pradesh",16.484823,81.112395
BENNIPATTI PIRAPUR,BNPT,,,,,25.892949366,85.3090478906
JALAMB JN,JM,CR,BSL,,,20.813007,76.573236
Gorapur,GPJ,ECoR,WAT,Andhra Pradesh,"Jeypore Rd, Andhra Pradesh",18.346936,82.79406
Pattaravakkam,ABEO,SR,,,,13.114499981582952,80.16618146561086
SHEGAON,SEG,CR,BSL,,,20.801724,76.690331
Gudru Halt,GDU,SECR,,Madhya Pradesh,"Lamta, Madhya Pradesh",22.2718946035,80.1163395764
Balgona,BGNA,ER,,West Bengal,"Balgona, West Bengal",23.458049719226736,87.95045644976199
Kalinarayanpur,KLNP,ER,,West Bengal,"Ranaghat-Bagula Bypass, West Bengal",23.206506,88.573216
S K NAGJIHARI,NGZ,CR,BSL,,,20.761641,76.755353
PARAS,PS,CR,BSL,,,20.724519,76.815865
Barda,BRDB,SER,,West Bengal,"Sutahata, West Bengal",22.15295838,88.08753041
GAIGAON,GAO,CR,BSL,,,20.720684,76.890093
REWRAL,RRL,SECR,NGP,,,21.261121,79.468096
KHAT,KHAT,SECR,NGP,,,21.242242,79.550792
BHANDARA ROAD,BRD,SECR,NGP,,,21.238512,79.64752299999999
KOKA,KOKA,SECR,NGP,,,21.263021,79.71240900000001
DAGHORA,DAO,SECR,BSP,,,21.857535,83.678086
HEMAGIRI,HGR,SECR,BSP,,,21.876504,83.742815
Nainpur Junction,NIR,SECR,NGP,Madhya Pradesh,"Nainpur, Madhya Pradesh",22.425676,80.108853
NAKACHARI,NCH,NFR,TSK,Assam,"Mariani, Assam",26.7081333353,94.3939129431
ALIPUR DUAR JN,APDJ,NFR,APDJ,West Bengal,"03564-255091, West Bengal",26.523279,89.534048
BHARWARI,BRE,NCR,PRYJ,,,25.5591917,81.4918665
Jhitkia,JTK,NFR,,West Bengal,"National Highway 34, West Bengal",25.626133,88.05297200000001
MANOHARGANJ,MNJ,NCR,PRYJ,,,25.524992,81.55907499999999
SAIYID SARAWAN,SYWN,NCR,PRYJ,,,25.494982,81.613788
MANAURI,MRE,NCR,PRYJ,,,25.470171,81.662491
BAMHRAULI,BMU,NCR,PRYJ,,,25.44494,81.741641
SUBEDARGANJ,SFG,NCR,PRYJ,,,25.439879,81.789897
KOLAKALUR,KLX,,,,,16.295185999999998,80.627521
CHILUVUR,CLVR,,,,,16.379558,80.61690800000001
KOVVUR,KVR,SCR,BZA,,,17.007084,81.726495
GODAVARI,GVN,SCR,BZA,,,17.007707,81.77083
KANJIKODE,KJKD,SR,PGT,,,10.800919,76.75531600000001
Sanka,SNKR,SER,ADRA,West Bengal,"Garh Dhrubeswar, West Bengal",23.52693,86.616164
