station_code,station_name,category,zone,division,state,total_passengers,total_revenue,source_url
,Kodi,NSG6,WR,VADODARA,Gujarat,0,0,https://railway-stations-classification.pages.dev/
AA,Ataria,NSG6,NER,LJN,Uttar Pradesh,201334,2097420,https://railway-stations-classification.pages.dev/
AADR,AMB ANDAURA,NSG4,NR,UMB,Himachal Pradesh,298357,125417242,https://railway-stations-classification.pages.dev/
AAG,ANGAR,NSG6,CR,SUR,Maharashtra,7480,481100,https://railway-stations-classification.pages.dev/
AAGH,Antagarh,NSG6,SECR,R,Chhattisgarh,59184,3415535,https://railway-stations-classification.pages.dev/
AAL,Amlai,NSG5,SECR,BSP,Madhya Pradesh,200483,23115618,https://railway-stations-classification.pages.dev/
AAM,Angadipuram,NSG5,SR,PGT,Kerala,932343,53771471,https://railway-stations-classification.pages.dev/
AAP,AMBIYA PUR,NSG6,NCR,PRYJ,Uttar Pradesh,77901,2250755,https://railway-stations-classification.pages.dev/
AAR,Adesar,NSG6,WR,AHMEDABAD,Gujarat,15214,1099840,https://railway-stations-classification.pages.dev/
AAS,ASARANADA,NSG6,,JU,Rajasthan,29935,370140,https://railway-stations-classification.pages.dev/
AAY,Aralvaymoli,NSG6,SR,TVC,Tamil Nadu,20851,2952935,https://railway-stations-classification.pages.dev/
AB,Ambur,NSG4,SR,MAS,Tamil Nadu,1064014,101617651,https://railway-stations-classification.pages.dev/
ABD,Ambli road,NSG6,WR,AHMEDABAD,Gujarat,38600,7946679,https://railway-stations-classification.pages.dev/
ABFC,Ambari Falakata,NSG6,NFR,KIR,West Bengal,79319,888665,https://railway-stations-classification.pages.dev/
ABI,Ambaturai,NSG6,SR,MDU,Tamil Nadu,88608,6027962,https://railway-stations-classification.pages.dev/
ABKP,Ambikapur,NSG4,SECR,BSP,Chhattisgarh,651442,165046787,https://railway-stations-classification.pages.dev/
ABLE,Ambale,NSG5,CR,PUNE,Maharashtra,43997,29708858,https://railway-stations-classification.pages.dev/
ABO,ASTHAL BOHAR,NSG6,NR,DLI,Haryana,57439,780230,https://railway-stations-classification.pages.dev/
ABP,AKBARPUR,NSG3,NR,LKO,Uttar Pradesh,911794,264164199,https://railway-stations-classification.pages.dev/
ABR,Aburoad,NSG3,NWR,AII,Rajasthan,1336074,479611000,https://railway-stations-classification.pages.dev/
ABRV,Ambari Richhavi,NSG6,WR,VADODARA,Gujarat,1316,57385,https://railway-stations-classification.pages.dev/
ABS,ABOHAR,NSG4,NR,UMB,Punjab,1298175,109696368,https://railway-stations-classification.pages.dev/
ABSA,Ambassa,NSG5,NFR,LMG,Tripura,515015,45451777,https://railway-stations-classification.pages.dev/
ABX,AMBARI,NSG6,SCR,NED,Maharashtra,6054,267800,https://railway-stations-classification.pages.dev/
ACG,Achegaon,NSG6,CR,BSL,Maharashtra,4766,182810,https://railway-stations-classification.pages.dev/
ACLE,AZIMGANJ CITY,NSG6,ER,HWH,West Bengal,286885,6781705,https://railway-stations-classification.pages.dev/
ACPR,Archipathar,NSG6,NFR,TSK,Assam,40024,2212340,https://railway-stations-classification.pages.dev/
AD,ADONI,NSG4,SCR,GTL,Andhra Pradesh,1130119,197785610,https://railway-stations-classification.pages.dev/
ADB,ADILABAD,NSG4,SCR,NED,Telangana,731446,113254326,https://railway-stations-classification.pages.dev/
ADD,Adas Road,NSG6,WR,VADODARA,Gujarat,36244,336135,https://railway-stations-classification.pages.dev/
