name,code,zone,state,address,longitude,latitude
Badhal,BDHL,NWR,Rajasthan,"Kishangarh Renwal, Rajasthan",75.4516454,27.2520587
XX-BECE,XX-BECE,,,,,
XX-BSPY,XX-BSPY,,,,,
YY-BPLC,YY-BPLC,,,,,
KICHHA,KHH,NER,Uttar Pradesh,"Kichha, Uttar Pradesh",79.519746,28.913427000000002
Sherekan,SRKN,NWR,Rajasthan,"MDR 89, Rajasthan",74.43499088287354,29.55519806064484
Bhukarka,BKKA,NWR,Rajasthan,"Bhukarka, Rajasthan",74.75103096105158,29.238227312503696
Nohar,NHR,NWR,Rajasthan,"State Highway 36, Rajasthan",74.77362781763077,29.192562738768984
Perungudi,PRGD,SR,Tamil Nadu,"Chennai, Tamil Nadu",80.231363,12.975217
Khinaniyan,KNNA,NWR,Haryana,"State Highway 23, Haryana",74.7179570607841,29.345637263205944
JAULKHERA,JKR,,,,78.216684,21.838466
BARSALI,BYS,,,,78.03136099999999,21.909813
GIRWAR,GW,,,,78.936311,23.838185999999997
DANGIDHAR,DGD,,,,79.019912,23.871771000000003
DHODHAR,DOD,WR,Madhya Pradesh,"Dhodar, Madhya Pradesh",75.10354600000001,23.770740999999997
GANESHGANJ,GAJ,,,,79.074633,23.895862
Jayanagar Majilpur Halt,JNM,ER,West Bengal,"Jaynagar, West Bengal",88.415324,22.168635
NASIRABAD,NSD,NWR,Rajasthan,"Nasirabad, Rajasthan",74.71699100000001,26.294459999999997
PATHARIA,PHA,,,,79.192899,23.905726
NIZAMABAD,NZB,SCR,Andhra Pradesh,"Nizamabad, Andhra Pradesh",78.103238,18.679164999999998
RAJENDRA PUL,RJO,,,,86.01054599999999,25.387446999999998
ADUTURAI,ADT,SR,Tamil Nadu,"Aduthurai, Tamil Nadu",79.478668,11.009165
KUMBAKONAM,KMU,SR,Tamil Nadu,"Kumbakonam, Tamil Nadu",79.388644,10.952962
MANAMADURAI JN,MNM,SR,Tamil Nadu,"Sivaganga, Tamil Nadu",78.45351,9.681538999999999
GORAKHPUR JN,GKP,,,,83.381499,26.759311
BJUP,BJUP,,,,,
VARNAMA,VRM,,,,73.16928300000001,22.184274000000002
GORAKHPUR CANT,GKC,,,,83.416821,26.750649
ITOLA,ITA,,,,73.156746,22.149889
CIKA,CIKA,,,,,
XX-CPHO,XX-CPHO,,,,,
BARAUT,BTU,NR,Uttar Pradesh,"Baraut, Uttar Pradesh",77.273006,29.09692
Moga,MOGA,NR,Punjab,"Moga, Punjab",75.16846699999999,30.817296
SAMAKHIALI JN,SIOB,,,,70.503394,23.309819
LLHW,LLHW,,,,,
Rasheedpura Khori,RDK,NWR,Rajasthan,"MDR 87, Rajasthan",75.087121,27.713786000000002
PEDDAVADIAPUDI,PVD,,,,80.612645,16.414205000000003
ELLAMANCHILI,YLM,,,,82.85262,17.553652000000003
Chatrappatti,CHPT,,,,77.655113,10.476970999999999
JARWAL ROAD,JLD,,,,81.540406,27.120389
BRAJRAJNAGAR,BRJN,,,,83.923653,21.822718000000002
COLONELGANJ,CLJ,,,,81.69417800000001,27.137698
KATHOLA,KTHL,,,,81.8556626477,27.1465555756
MUNDERWA,MND,,,,82.903373,26.776435
SAINAGAR SHIRDI,SNSI,CR,Maharashtra,"Near New Bus Stand Shirdi Sainagar, Maharashtra",74.4806877,19.780792299999998
