name,toll_type,nh_number,state,district,district_code,latitude,longitude,booth_count,source_url
Alluri Sitarama Raju Toll Plaza,national_highway,NH 516E,Andhra Pradesh,Alluri Sitarama Raju,684.0,17.714378,82.384079,1,https://www.openstreetmap.org
Alluri Sitarama Raju Toll Plaza,national_highway,NH 516E,Andhra Pradesh,Alluri Sitarama Raju,684.0,17.458836,82.106778,1,https://www.openstreetmap.org
Alluri Sitarama Raju Toll Plaza,national_highway,NH 30,Andhra Pradesh,Alluri Sitarama Raju,684.0,17.702508,81.0308,1,https://www.openstreetmap.org
Anakapalli Toll Plaza,national_highway,NH 16,Andhra Pradesh,Anakapalli,685.0,17.397752,82.675876,2,https://www.openstreetmap.org
Anakapalli Toll Plaza,national_highway,NH 16,Andhra Pradesh,Anakapalli,685.0,17.747515,83.068966,2,https://www.openstreetmap.org
Ananthapuramu Toll Plaza,national_highway,NH 67,Andhra Pradesh,Ananthapuramu,553.0,14.987418,77.915206,1,https://www.openstreetmap.org
Ananthapuramu Toll Plaza,highway_toll,NH 150A,Andhra Pradesh,Ananthapuramu,553.0,14.698553,77.00446,1,https://www.openstreetmap.org
Ananthapuramu Toll Plaza,national_highway,NH 42,Andhra Pradesh,Ananthapuramu,553.0,14.79274,77.362008,1,https://www.openstreetmap.org
Ananthapuramu Toll Plaza,national_highway,NH 150A,Andhra Pradesh,Ananthapuramu,553.0,14.981337,76.834118,3,https://www.openstreetmap.org
Ananthapuramu Toll Plaza,highway_toll,NH 42,Andhra Pradesh,Ananthapuramu,553.0,14.670396,77.449841,1,https://www.openstreetmap.org
Ananthapuramu Toll Plaza,national_highway,NH 67,Andhra Pradesh,Ananthapuramu,553.0,15.159101,77.476928,2,https://www.openstreetmap.org
Kasepalli,national_highway,NH 44,Andhra Pradesh,Ananthapuramu,553.0,15.061721,77.63034,2,https://www.openstreetmap.org
Marur,national_highway,NH 44,Andhra Pradesh,Ananthapuramu,553.0,14.502036,77.631319,2,https://www.openstreetmap.org
Annamayya Toll Plaza,national_highway,NH 40,Andhra Pradesh,Annamayya,693.0,13.714326,78.873307,1,https://www.openstreetmap.org
Annamayya Toll Plaza,national_highway,NH 40,Andhra Pradesh,Annamayya,693.0,14.131121,78.756701,1,https://www.openstreetmap.org
Bapatla Toll Plaza,national_highway,NH 16,Andhra Pradesh,Bapatla,691.0,15.886607,80.070853,2,https://www.openstreetmap.org
Bapatla Toll Plaza,national_highway,NH 216,Andhra Pradesh,Bapatla,691.0,15.683328,80.19176,1,https://www.openstreetmap.org
Bapatla Toll Plaza,highway_toll,NH 544D,Andhra Pradesh,Bapatla,691.0,16.106994,79.928945,2,https://www.openstreetmap.org
